filename,width,height,class,xmin,ymin,xmax,ymax
MODEL 2 TRAIN (10).jpg,1920,1080,Agujero,547,394,641,465
MODEL 2 TRAIN (10).jpg,1920,1080,Agujero,1504,7,1577,64
MODEL 2 TRAIN (100).jpg,1920,1080,Agujero,716,366,794,425
MODEL 2 TRAIN (100).jpg,1920,1080,Agujero,1656,1,1708,32
MODEL 2 TRAIN (11).jpg,1920,1080,Agujero,732,374,827,447
MODEL 2 TRAIN (11).jpg,1920,1080,Agujero,1672,1,1746,41
MODEL 2 TRAIN (12).jpg,1920,1080,Agujero,628,390,722,461
MODEL 2 TRAIN (12).jpg,1920,1080,Agujero,1584,1,1651,60
MODEL 2 TRAIN (13).jpg,1920,1080,Agujero,516,399,612,470
MODEL 2 TRAIN (13).jpg,1920,1080,Agujero,1478,11,1556,71
MODEL 2 TRAIN (14).jpg,1920,1080,Agujero,651,331,746,399
MODEL 2 TRAIN (14).jpg,1920,1080,Agujero,1613,1,1673,19
MODEL 2 TRAIN (17).jpg,1920,1080,Agujero,487,397,583,472
MODEL 2 TRAIN (17).jpg,1920,1080,Agujero,1454,15,1533,74
MODEL 2 TRAIN (18).jpg,1920,1080,Agujero,497,406,592,481
MODEL 2 TRAIN (18).jpg,1920,1080,Agujero,1466,15,1536,75
MODEL 2 TRAIN (19).jpg,1920,1080,Agujero,651,377,738,450
MODEL 2 TRAIN (19).jpg,1920,1080,Agujero,1604,1,1673,45
MODEL 2 TRAIN (20).jpg,1920,1080,Agujero,512,409,609,480
MODEL 2 TRAIN (20).jpg,1920,1080,Agujero,1482,17,1554,71
MODEL 2 TRAIN (21).jpg,1920,1080,Agujero,664,375,754,445
MODEL 2 TRAIN (21).jpg,1920,1080,Agujero,1612,1,1678,46
MODEL 2 TRAIN (23).jpg,1920,1080,Agujero,713,359,807,437
MODEL 2 TRAIN (23).jpg,1920,1080,Agujero,1651,1,1726,42
MODEL 2 TRAIN (24).jpg,1920,1080,Agujero,611,395,707,470
MODEL 2 TRAIN (24).jpg,1920,1080,Agujero,1577,5,1651,65
MODEL 2 TRAIN (26).jpg,1920,1080,Agujero,501,410,592,479
MODEL 2 TRAIN (26).jpg,1920,1080,Agujero,1474,15,1543,67
MODEL 2 TRAIN (29).jpg,1920,1080,Agujero,651,385,741,450
MODEL 2 TRAIN (29).jpg,1920,1080,Agujero,1599,1,1664,56
MODEL 2 TRAIN (3).jpg,1920,1080,Agujero,716,390,809,461
MODEL 2 TRAIN (3).jpg,1920,1080,Agujero,1664,2,1733,56
MODEL 2 TRAIN (31).jpg,1920,1080,Agujero,722,395,809,461
MODEL 2 TRAIN (31).jpg,1920,1080,Agujero,1662,1,1736,57
MODEL 2 TRAIN (32).jpg,1920,1080,Agujero,741,374,834,444
MODEL 2 TRAIN (32).jpg,1920,1080,Agujero,1682,1,1752,39
MODEL 2 TRAIN (33).jpg,1920,1080,Agujero,638,391,726,459
MODEL 2 TRAIN (33).jpg,1920,1080,Agujero,1593,4,1661,57
MODEL 2 TRAIN (34).jpg,1920,1080,Agujero,496,399,587,467
MODEL 2 TRAIN (34).jpg,1920,1080,Agujero,1464,15,1534,69
MODEL 2 TRAIN (36).jpg,1920,1080,Agujero,734,361,818,429
MODEL 2 TRAIN (36).jpg,1920,1080,Agujero,1676,1,1742,30
MODEL 2 TRAIN (37).jpg,1920,1080,Agujero,764,370,849,437
MODEL 2 TRAIN (37).jpg,1920,1080,Agujero,1697,1,1762,35
MODEL 2 TRAIN (38).jpg,1920,1080,Agujero,548,395,637,466
MODEL 2 TRAIN (38).jpg,1920,1080,Agujero,1506,10,1569,61
MODEL 2 TRAIN (39).jpg,1920,1080,Agujero,531,400,617,464
MODEL 2 TRAIN (39).jpg,1920,1080,Agujero,1492,10,1557,61
MODEL 2 TRAIN (4).jpg,1920,1080,Agujero,741,372,834,445
MODEL 2 TRAIN (4).jpg,1920,1080,Agujero,1679,1,1749,42
MODEL 2 TRAIN (40).jpg,1920,1080,Agujero,712,397,797,461
MODEL 2 TRAIN (40).jpg,1920,1080,Agujero,1663,6,1724,56
MODEL 2 TRAIN (41).jpg,1920,1080,Agujero,726,382,811,451
MODEL 2 TRAIN (41).jpg,1920,1080,Agujero,1672,1,1742,41
MODEL 2 TRAIN (42).jpg,1920,1080,Agujero,689,371,774,435
MODEL 2 TRAIN (42).jpg,1920,1080,Agujero,1629,1,1697,41
MODEL 2 TRAIN (43).jpg,1920,1080,Agujero,526,387,606,457
MODEL 2 TRAIN (43).jpg,1920,1080,Agujero,1489,12,1547,62
MODEL 2 TRAIN (44).jpg,1920,1080,Agujero,676,382,763,450
MODEL 2 TRAIN (44).jpg,1920,1080,Agujero,1626,1,1694,45
MODEL 2 TRAIN (45).jpg,1920,1080,Agujero,513,406,598,472
MODEL 2 TRAIN (45).jpg,1920,1080,Agujero,1482,15,1543,65
MODEL 2 TRAIN (46).jpg,1920,1080,Agujero,758,381,843,444
MODEL 2 TRAIN (46).jpg,1920,1080,Agujero,1687,5,1756,46
MODEL 2 TRAIN (47).jpg,1920,1080,Agujero,689,370,774,437
MODEL 2 TRAIN (47).jpg,1920,1080,Agujero,1631,1,1692,37
MODEL 2 TRAIN (48).jpg,1920,1080,Agujero,758,369,841,437
MODEL 2 TRAIN (48).jpg,1920,1080,Agujero,1692,1,1756,34
MODEL 2 TRAIN (49).jpg,1920,1080,Agujero,638,382,728,452
MODEL 2 TRAIN (49).jpg,1920,1080,Agujero,1588,1,1658,55
MODEL 2 TRAIN (5).jpg,1920,1080,Agujero,666,380,764,460
MODEL 2 TRAIN (5).jpg,1920,1080,Agujero,1629,1,1698,52
MODEL 2 TRAIN (50).jpg,1920,1080,Agujero,689,384,772,450
MODEL 2 TRAIN (50).jpg,1920,1080,Agujero,1639,1,1702,44
MODEL 2 TRAIN (51).jpg,1920,1080,Agujero,684,371,771,434
MODEL 2 TRAIN (51).jpg,1920,1080,Agujero,1629,1,1694,39
MODEL 2 TRAIN (52).jpg,1920,1080,Agujero,747,382,828,450
MODEL 2 TRAIN (52).jpg,1920,1080,Agujero,1682,1,1742,50
MODEL 2 TRAIN (53).jpg,1920,1080,Agujero,722,381,808,450
MODEL 2 TRAIN (53).jpg,1920,1080,Agujero,1671,1,1737,42
MODEL 2 TRAIN (54).jpg,1920,1080,Agujero,724,362,809,429
MODEL 2 TRAIN (54).jpg,1920,1080,Agujero,1661,1,1723,35
MODEL 2 TRAIN (56).jpg,1920,1080,Agujero,716,367,796,432
MODEL 2 TRAIN (56).jpg,1920,1080,Agujero,1656,1,1717,35
MODEL 2 TRAIN (57).jpg,1920,1080,Agujero,684,384,767,449
MODEL 2 TRAIN (57).jpg,1920,1080,Agujero,1633,1,1698,41
MODEL 2 TRAIN (58).jpg,1920,1080,Agujero,716,364,802,430
MODEL 2 TRAIN (58).jpg,1920,1080,Agujero,1649,1,1716,36
MODEL 2 TRAIN (6).jpg,1920,1080,Agujero,752,371,844,449
MODEL 2 TRAIN (6).jpg,1920,1080,Agujero,1693,1,1761,41
MODEL 2 TRAIN (60).jpg,1920,1080,Agujero,737,369,819,439
